Model,CV RMSE (5-fold),CV RMSE std,Test RMSE,Test MAE,Test R2
Linear Regression,45971.66587245237,28888.19470915333,22730.74378531749,15054.473308672637,0.932638234792464
Ridge (CV alpha),45691.98172973529,28457.224937702307,22738.978234491147,15027.666888339761,0.9325894209474203
Lasso (CV alpha),49569.64874688699,38456.37790894309,22889.903151547827,14460.37762895266,0.9316916057890343
XGBoost,28045.525255573717,5489.187191923576,25326.345703125,15393.4208984375,0.9163759350776672
Random Forest,29683.647448861004,4819.037676753893,29879.162770113857,17129.11461244718,0.8836080312977518
